,PointsTotal,DateParse,Squad,HA,P_color,rank,matchup,score_H,score_A,Points
22,0,2017-08-11,Leicester City,A,#0053a0 ,20.0,Arsenal vs. Leicester City,4,3,0
25,3,2017-08-11,Arsenal,H,#ef0107 ,1.0,Arsenal vs. Leicester City,4,3,3
27,0,2017-08-12,Bournemouth,A,#8b0304 ,17.0,West Bromwich Albion vs. Bournemouth,1,0,0
30,1,2017-08-12,Watford,H,#fbee23 ,8.0,Watford vs. Liverpool,3,3,1
31,0,2017-08-12,Stoke City,A,#e03a3e,18.0,Everton vs. Stoke City,1,0,0
36,3,2017-08-12,West Bromwich Albion,H,#122f67,5.0,West Bromwich Albion vs. Bournemouth,1,0,3
37,1,2017-08-12,Southampton,H,#ed1a3b ,9.0,Southampton vs. Swansea City,0,0,1
38,1,2017-08-12,Swansea City,A,#ffffff ,10.0,Southampton vs. Swansea City,0,0,1
39,3,2017-08-12,Manchester City,A,#6caddf ,2.0,Brighton vs. Manchester City,0,2,3
40,0,2017-08-12,Crystal Palace,H,#27409b ,20.0,Crystal Palace vs. Huddersfield Town,0,3,0
41,0,2017-08-12,Brighton,H,#005daa ,19.0,Brighton vs. Manchester City,0,2,0
44,3,2017-08-12,Huddersfield Town,A,#176fc0,1.0,Crystal Palace vs. Huddersfield Town,0,3,3
45,0,2017-08-12,Chelsea,H,#034694 ,16.0,Chelsea vs. Burnley,2,3,0
47,3,2017-08-12,Burnley,A,#800000 ,4.0,Chelsea vs. Burnley,2,3,3
48,1,2017-08-12,Liverpool,A,#dd0000 ,7.0,Watford vs. Liverpool,3,3,1
49,3,2017-08-12,Everton,H,#0d00e9 ,6.0,Everton vs. Stoke City,1,0,3
51,0,2017-08-13,West Ham,A,#7f0000 ,20.0,Manchester Utd vs. West Ham,4,0,0
53,0,2017-08-13,Newcastle Utd,H,#fafafa ,18.0,Newcastle Utd vs. Tottenham,0,2,0
54,3,2017-08-13,Tottenham,A,#fafafa ,4.0,Newcastle Utd vs. Tottenham,0,2,3
55,3,2017-08-13,Manchester Utd,H,#b40509 ,1.0,Manchester Utd vs. West Ham,4,0,3
71,0,2017-08-19,Bournemouth,H,#8b0304 ,17.0,Bournemouth vs. Watford,0,2,0
75,3,2017-08-19,Burnley,H,#800000 ,12.0,Burnley vs. West Bromwich Albion,0,1,0
85,0,2017-08-19,Brighton,A,#005daa ,18.0,Leicester City vs. Brighton,2,0,0
88,6,2017-08-19,West Bromwich Albion,A,#122f67,2.0,Burnley vs. West Bromwich Albion,0,1,3
91,4,2017-08-19,Liverpool,H,#dd0000 ,4.0,Liverpool vs. Crystal Palace,1,0,3
93,0,2017-08-19,Crystal Palace,A,#27409b ,19.0,Liverpool vs. Crystal Palace,1,0,0
96,3,2017-08-19,Arsenal,A,#ef0107 ,11.0,Stoke City vs. Arsenal,1,0,0
97,4,2017-08-19,Southampton,H,#ed1a3b ,5.0,Southampton vs. West Ham,3,2,3
99,3,2017-08-19,Stoke City,H,#e03a3e,13.0,Stoke City vs. Arsenal,1,0,3
101,1,2017-08-19,Swansea City,H,#ffffff ,14.0,Swansea City vs. Manchester Utd,0,4,0
104,3,2017-08-19,Leicester City,H,#0053a0 ,9.0,Leicester City vs. Brighton,2,0,3
106,0,2017-08-19,West Ham,A,#7f0000 ,20.0,Southampton vs. West Ham,3,2,0
108,6,2017-08-19,Manchester Utd,A,#b40509 ,1.0,Swansea City vs. Manchester Utd,0,4,3
112,4,2017-08-19,Watford,A,#fbee23 ,3.0,Bournemouth vs. Watford,0,2,3
135,3,2017-08-20,Tottenham,H,#fafafa ,9.0,Tottenham vs. Chelsea,1,2,0
141,6,2017-08-20,Huddersfield Town,H,#176fc0,2.0,Huddersfield Town vs. Newcastle Utd,1,0,3
144,0,2017-08-20,Newcastle Utd,A,#fafafa ,17.0,Huddersfield Town vs. Newcastle Utd,1,0,0
151,3,2017-08-20,Chelsea,A,#034694 ,11.0,Tottenham vs. Chelsea,1,2,3
152,4,2017-08-21,Everton,A,#0d00e9 ,8.0,Manchester City vs. Everton,1,1,1
153,4,2017-08-21,Manchester City,H,#6caddf ,5.0,Manchester City vs. Everton,1,1,1
169,3,2017-08-26,Leicester City,A,#0053a0 ,16.0,Manchester Utd vs. Leicester City,2,0,0
170,9,2017-08-26,Manchester Utd,H,#b40509 ,1.0,Manchester Utd vs. Leicester City,2,0,3
172,3,2017-08-26,Newcastle Utd,H,#fafafa ,13.0,Newcastle Utd vs. West Ham,3,0,3
173,0,2017-08-26,Crystal Palace,H,#27409b ,19.0,Crystal Palace vs. Swansea City,0,2,0
174,7,2017-08-26,Manchester City,A,#6caddf ,3.0,Bournemouth vs. Manchester City,1,2,3
176,7,2017-08-26,Huddersfield Town,H,#176fc0,2.0,Huddersfield Town vs. Southampton,0,0,1
178,5,2017-08-26,Southampton,A,#ed1a3b ,6.0,Huddersfield Town vs. Southampton,0,0,1
183,1,2017-08-26,Brighton,A,#005daa ,17.0,Watford vs. Brighton,0,0,1
188,0,2017-08-26,Bournemouth,H,#8b0304 ,18.0,Bournemouth vs. Manchester City,1,2,0
197,0,2017-08-26,West Ham,A,#7f0000 ,20.0,Newcastle Utd vs. West Ham,3,0,0
199,5,2017-08-26,Watford,H,#fbee23 ,5.0,Watford vs. Brighton,0,0,1
202,4,2017-08-26,Swansea City,A,#ffffff ,9.0,Crystal Palace vs. Swansea City,0,2,3
219,4,2017-08-27,Tottenham,H,#fafafa ,9.0,Tottenham vs. Burnley,1,1,1
231,3,2017-08-27,Arsenal,A,#ef0107 ,16.0,Liverpool vs. Arsenal,4,0,0
233,4,2017-08-27,Stoke City,A,#e03a3e,11.0,West Bromwich Albion vs. Stoke City,1,1,1
239,4,2017-08-27,Everton,A,#0d00e9 ,12.0,Chelsea vs. Everton,2,0,0
241,6,2017-08-27,Chelsea,H,#034694 ,6.0,Chelsea vs. Everton,2,0,3
246,7,2017-08-27,Liverpool,H,#dd0000 ,2.0,Liverpool vs. Arsenal,4,0,3
251,4,2017-08-27,Burnley,A,#800000 ,10.0,Tottenham vs. Burnley,1,1,1
255,7,2017-08-27,West Bromwich Albion,H,#122f67,5.0,West Bromwich Albion vs. Stoke City,1,1,1
266,6,2017-09-09,Arsenal,H,#ef0107 ,9.0,Arsenal vs. Bournemouth,3,0,3
270,10,2017-09-09,Manchester City,H,#6caddf ,2.0,Manchester City vs. Liverpool,5,0,3
272,5,2017-09-09,Southampton,H,#ed1a3b ,11.0,Southampton vs. Watford,0,2,0
273,4,2017-09-09,Brighton,H,#005daa ,13.0,Brighton vs. West Bromwich Albion,3,1,3
277,9,2017-09-09,Chelsea,A,#034694 ,3.0,Leicester City vs. Chelsea,1,2,3
283,7,2017-09-09,Tottenham,A,#fafafa ,5.0,Everton vs. Tottenham,0,3,3
284,7,2017-09-09,Liverpool,A,#dd0000 ,7.0,Manchester City vs. Liverpool,5,0,0
289,4,2017-09-09,Everton,H,#0d00e9 ,15.0,Everton vs. Tottenham,0,3,0
290,5,2017-09-09,Stoke City,H,#e03a3e,10.0,Stoke City vs. Manchester Utd,2,2,1
292,3,2017-09-09,Leicester City,H,#0053a0 ,17.0,Leicester City vs. Chelsea,1,2,0
296,10,2017-09-09,Manchester Utd,A,#b40509 ,1.0,Stoke City vs. Manchester Utd,2,2,1
300,8,2017-09-09,Watford,A,#fbee23 ,4.0,Southampton vs. Watford,0,2,3
301,7,2017-09-09,West Bromwich Albion,A,#122f67,8.0,Brighton vs. West Bromwich Albion,3,1,0
302,0,2017-09-09,Bournemouth,A,#8b0304 ,19.0,Arsenal vs. Bournemouth,3,0,0
321,7,2017-09-10,Burnley,H,#800000 ,7.0,Burnley vs. Crystal Palace,1,0,3
322,6,2017-09-10,Newcastle Utd,A,#fafafa ,10.0,Swansea City vs. Newcastle Utd,0,1,3
335,4,2017-09-10,Swansea City,H,#ffffff ,15.0,Swansea City vs. Newcastle Utd,0,1,0
346,0,2017-09-10,Crystal Palace,A,#27409b ,19.0,Burnley vs. Crystal Palace,1,0,0
349,7,2017-09-11,Huddersfield Town,A,#176fc0,6.0,West Ham vs. Huddersfield Town,2,0,0
350,3,2017-09-11,West Ham,H,#7f0000 ,18.0,West Ham vs. Huddersfield Town,2,0,3
353,3,2017-09-15,Bournemouth,H,#8b0304 ,19.0,Bournemouth vs. Brighton,2,1,3
355,4,2017-09-15,Brighton,A,#005daa ,14.0,Bournemouth vs. Brighton,2,1,0
362,8,2017-09-16,Tottenham,H,#fafafa ,5.0,Tottenham vs. Swansea City,0,0,1
363,13,2017-09-16,Manchester City,A,#6caddf ,1.0,Watford vs. Manchester City,0,6,3
365,5,2017-09-16,Swansea City,A,#ffffff ,14.0,Tottenham vs. Swansea City,0,0,1
366,5,2017-09-16,Stoke City,A,#e03a3e,13.0,Newcastle Utd vs. Stoke City,2,1,0
368,8,2017-09-16,West Bromwich Albion,H,#122f67,9.0,West Bromwich Albion vs. West Ham,0,0,1
379,8,2017-09-16,Southampton,A,#ed1a3b ,10.0,Crystal Palace vs. Southampton,0,1,3
380,8,2017-09-16,Watford,H,#fbee23 ,11.0,Watford vs. Manchester City,0,6,0
382,0,2017-09-16,Crystal Palace,H,#27409b ,20.0,Crystal Palace vs. Southampton,0,1,0
385,8,2017-09-16,Burnley,A,#800000 ,7.0,Liverpool vs. Burnley,1,1,1
388,4,2017-09-16,West Ham,A,#7f0000 ,18.0,West Bromwich Albion vs. West Ham,0,0,1
394,8,2017-09-16,Liverpool,H,#dd0000 ,8.0,Liverpool vs. Burnley,1,1,1
398,9,2017-09-16,Newcastle Utd,H,#fafafa ,4.0,Newcastle Utd vs. Stoke City,2,1,3
399,4,2017-09-16,Leicester City,A,#0053a0 ,15.0,Huddersfield Town vs. Leicester City,1,1,1
406,8,2017-09-16,Huddersfield Town,H,#176fc0,6.0,Huddersfield Town vs. Leicester City,1,1,1
414,10,2017-09-17,Chelsea,H,#034694 ,3.0,Chelsea vs. Arsenal,0,0,1
425,13,2017-09-17,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Everton,4,0,3
426,7,2017-09-17,Arsenal,A,#ef0107 ,12.0,Chelsea vs. Arsenal,0,0,1
442,4,2017-09-17,Everton,A,#0d00e9 ,18.0,Manchester Utd vs. Everton,4,0,0
519,5,2017-09-23,Stoke City,H,#e03a3e,15.0,Stoke City vs. Chelsea,0,4,0
526,9,2017-09-23,Huddersfield Town,A,#176fc0,8.0,Burnley vs. Huddersfield Town,0,0,1
529,9,2017-09-23,Burnley,H,#800000 ,9.0,Burnley vs. Huddersfield Town,0,0,1
531,11,2017-09-23,Tottenham,A,#fafafa ,4.0,West Ham vs. Tottenham,2,3,3
540,16,2017-09-23,Manchester City,H,#6caddf ,1.0,Manchester City vs. Crystal Palace,5,0,3
544,4,2017-09-23,West Ham,H,#7f0000 ,18.0,West Ham vs. Tottenham,2,3,0
545,4,2017-09-23,Leicester City,H,#0053a0 ,16.0,Leicester City vs. Liverpool,2,3,0
546,8,2017-09-23,Southampton,H,#ed1a3b ,11.0,Southampton vs. Manchester Utd,0,1,0
549,3,2017-09-23,Bournemouth,A,#8b0304 ,19.0,Everton vs. Bournemouth,2,1,0
551,5,2017-09-23,Swansea City,H,#ffffff ,14.0,Swansea City vs. Watford,1,2,0
552,16,2017-09-23,Manchester Utd,A,#b40509 ,2.0,Southampton vs. Manchester Utd,0,1,3
556,11,2017-09-23,Watford,A,#fbee23 ,6.0,Swansea City vs. Watford,1,2,3
557,0,2017-09-23,Crystal Palace,A,#27409b ,20.0,Manchester City vs. Crystal Palace,5,0,0
558,7,2017-09-23,Everton,H,#0d00e9 ,13.0,Everton vs. Bournemouth,2,1,3
561,11,2017-09-23,Liverpool,A,#dd0000 ,5.0,Leicester City vs. Liverpool,2,3,3
565,13,2017-09-23,Chelsea,A,#034694 ,3.0,Stoke City vs. Chelsea,0,4,3
589,9,2017-09-24,Newcastle Utd,A,#fafafa ,9.0,Brighton vs. Newcastle Utd,1,0,0
598,7,2017-09-24,Brighton,H,#005daa ,13.0,Brighton vs. Newcastle Utd,1,0,3
603,10,2017-09-25,Arsenal,H,#ef0107 ,7.0,Arsenal vs. West Bromwich Albion,2,0,3
605,8,2017-09-25,West Bromwich Albion,A,#122f67,12.0,Arsenal vs. West Bromwich Albion,2,0,0
612,9,2017-09-30,Huddersfield Town,H,#176fc0,11.0,Huddersfield Town vs. Tottenham,0,4,0
613,0,2017-09-30,Crystal Palace,A,#27409b ,20.0,Manchester Utd vs. Crystal Palace,4,0,0
614,7,2017-09-30,West Ham,H,#7f0000 ,15.0,West Ham vs. Swansea City,1,0,3
615,19,2017-09-30,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Crystal Palace,4,0,3
616,9,2017-09-30,West Bromwich Albion,H,#122f67,10.0,West Bromwich Albion vs. Watford,2,2,1
623,4,2017-09-30,Bournemouth,H,#8b0304 ,19.0,Bournemouth vs. Leicester City,0,0,1
625,12,2017-09-30,Watford,A,#fbee23 ,5.0,West Bromwich Albion vs. Watford,2,2,1
631,8,2017-09-30,Southampton,A,#ed1a3b ,12.0,Stoke City vs. Southampton,2,1,0
632,8,2017-09-30,Stoke City,H,#e03a3e,13.0,Stoke City vs. Southampton,2,1,3
641,19,2017-09-30,Manchester City,A,#6caddf ,1.0,Chelsea vs. Manchester City,0,1,3
648,13,2017-09-30,Chelsea,H,#034694 ,4.0,Chelsea vs. Manchester City,0,1,0
652,14,2017-09-30,Tottenham,A,#fafafa ,3.0,Huddersfield Town vs. Tottenham,0,4,3
654,5,2017-09-30,Leicester City,A,#0053a0 ,17.0,Bournemouth vs. Leicester City,0,0,1
657,5,2017-09-30,Swansea City,A,#ffffff ,18.0,West Ham vs. Swansea City,1,0,0
658,12,2017-10-01,Burnley,A,#800000 ,6.0,Everton vs. Burnley,0,1,3
661,7,2017-10-01,Everton,H,#0d00e9 ,16.0,Everton vs. Burnley,0,1,0
665,10,2017-10-01,Newcastle Utd,H,#fafafa ,9.0,Newcastle Utd vs. Liverpool,1,1,1
668,12,2017-10-01,Liverpool,A,#dd0000 ,7.0,Newcastle Utd vs. Liverpool,1,1,1
697,7,2017-10-01,Brighton,A,#005daa ,14.0,Arsenal vs. Brighton,2,0,0
701,13,2017-10-01,Arsenal,H,#ef0107 ,5.0,Arsenal vs. Brighton,2,0,3
708,22,2017-10-14,Manchester City,H,#6caddf ,1.0,Manchester City vs. Stoke City,7,2,3
710,8,2017-10-14,West Ham,A,#7f0000 ,14.0,Burnley vs. West Ham,1,1,1
711,9,2017-10-14,Huddersfield Town,A,#176fc0,11.0,Swansea City vs. Huddersfield Town,2,0,0
712,17,2017-10-14,Tottenham,H,#fafafa ,3.0,Tottenham vs. Bournemouth,1,0,3
713,13,2017-10-14,Liverpool,H,#dd0000 ,8.0,Liverpool vs. Manchester Utd,0,0,1
716,8,2017-10-14,Stoke City,A,#e03a3e,15.0,Manchester City vs. Stoke City,7,2,0
718,15,2017-10-14,Watford,H,#fbee23 ,4.0,Watford vs. Arsenal,2,1,3
720,8,2017-10-14,Swansea City,H,#ffffff ,13.0,Swansea City vs. Huddersfield Town,2,0,3
724,13,2017-10-14,Burnley,H,#800000 ,7.0,Burnley vs. West Ham,1,1,1
726,13,2017-10-14,Chelsea,A,#034694 ,5.0,Crystal Palace vs. Chelsea,2,1,0
741,13,2017-10-14,Arsenal,A,#ef0107 ,6.0,Watford vs. Arsenal,2,1,0
743,4,2017-10-14,Bournemouth,A,#8b0304 ,19.0,Tottenham vs. Bournemouth,1,0,0
746,20,2017-10-14,Manchester Utd,A,#b40509 ,2.0,Liverpool vs. Manchester Utd,0,0,1
749,3,2017-10-14,Crystal Palace,H,#27409b ,20.0,Crystal Palace vs. Chelsea,2,1,3
761,8,2017-10-15,Everton,A,#0d00e9 ,16.0,Brighton vs. Everton,1,1,1
762,8,2017-10-15,Brighton,H,#005daa ,14.0,Brighton vs. Everton,1,1,1
765,11,2017-10-15,Newcastle Utd,A,#fafafa ,9.0,Southampton vs. Newcastle Utd,2,2,1
768,9,2017-10-15,Southampton,H,#ed1a3b ,10.0,Southampton vs. Newcastle Utd,2,2,1
796,6,2017-10-16,Leicester City,H,#0053a0 ,18.0,Leicester City vs. West Bromwich Albion,1,1,1
797,10,2017-10-16,West Bromwich Albion,A,#122f67,10.0,Leicester City vs. West Bromwich Albion,1,1,1
804,8,2017-10-20,West Ham,H,#7f0000 ,17.0,West Ham vs. Brighton,0,3,0
805,11,2017-10-20,Brighton,A,#005daa ,10.0,West Ham vs. Brighton,0,3,3
807,8,2017-10-21,Swansea City,H,#ffffff ,15.0,Swansea City vs. Leicester City,1,2,0
809,14,2017-10-21,Newcastle Utd,H,#fafafa ,6.0,Newcastle Utd vs. Crystal Palace,1,0,3
812,3,2017-10-21,Crystal Palace,A,#27409b ,20.0,Newcastle Utd vs. Crystal Palace,1,0,0
813,9,2017-10-21,Leicester City,A,#0053a0 ,14.0,Swansea City vs. Leicester City,1,2,3
814,7,2017-10-21,Bournemouth,A,#8b0304 ,19.0,Stoke City vs. Bournemouth,1,2,3
817,15,2017-10-21,Watford,A,#fbee23 ,5.0,Chelsea vs. Watford,4,2,0
818,12,2017-10-21,Huddersfield Town,H,#176fc0,11.0,Huddersfield Town vs. Manchester Utd,2,1,3
830,13,2017-10-21,Burnley,A,#800000 ,9.0,Manchester City vs. Burnley,3,0,0
832,12,2017-10-21,Southampton,H,#ed1a3b ,10.0,Southampton vs. West Bromwich Albion,1,0,3
834,10,2017-10-21,West Bromwich Albion,A,#122f67,13.0,Southampton vs. West Bromwich Albion,1,0,0
836,20,2017-10-21,Manchester Utd,A,#b40509 ,2.0,Huddersfield Town vs. Manchester Utd,2,1,0
841,25,2017-10-21,Manchester City,H,#6caddf ,1.0,Manchester City vs. Burnley,3,0,3
844,16,2017-10-21,Chelsea,H,#034694 ,4.0,Chelsea vs. Watford,4,2,3
847,8,2017-10-21,Stoke City,H,#e03a3e,18.0,Stoke City vs. Bournemouth,1,2,0
855,8,2017-10-22,Everton,H,#0d00e9 ,18.0,Everton vs. Arsenal,2,5,0
861,13,2017-10-22,Liverpool,A,#dd0000 ,9.0,Tottenham vs. Liverpool,4,1,0
870,16,2017-10-22,Arsenal,A,#ef0107 ,5.0,Everton vs. Arsenal,2,5,3
892,20,2017-10-22,Tottenham,H,#fafafa ,3.0,Tottenham vs. Liverpool,4,1,3
930,7,2017-10-28,Bournemouth,H,#8b0304 ,19.0,Bournemouth vs. Chelsea,0,1,0
933,9,2017-10-28,West Ham,A,#7f0000 ,16.0,Crystal Palace vs. West Ham,2,2,1
934,20,2017-10-28,Tottenham,A,#fafafa ,3.0,Manchester Utd vs. Tottenham,1,0,0
937,23,2017-10-28,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Tottenham,1,0,3
938,12,2017-10-28,Huddersfield Town,A,#176fc0,11.0,Liverpool vs. Huddersfield Town,3,0,0
940,10,2017-10-28,West Bromwich Albion,H,#122f67,14.0,West Bromwich Albion vs. Manchester City,2,3,0
942,11,2017-10-28,Stoke City,A,#e03a3e,13.0,Watford vs. Stoke City,0,1,3
944,4,2017-10-28,Crystal Palace,H,#27409b ,20.0,Crystal Palace vs. West Ham,2,2,1
946,8,2017-10-28,Swansea City,A,#ffffff ,17.0,Arsenal vs. Swansea City,2,1,0
949,15,2017-10-28,Watford,H,#fbee23 ,7.0,Watford vs. Stoke City,0,1,0
951,19,2017-10-28,Chelsea,A,#034694 ,4.0,Bournemouth vs. Chelsea,0,1,3
953,19,2017-10-28,Arsenal,H,#ef0107 ,5.0,Arsenal vs. Swansea City,2,1,3
960,16,2017-10-28,Liverpool,H,#dd0000 ,6.0,Liverpool vs. Huddersfield Town,3,0,3
965,28,2017-10-28,Manchester City,A,#6caddf ,1.0,West Bromwich Albion vs. Manchester City,2,3,3
972,8,2017-10-29,Everton,A,#0d00e9 ,18.0,Leicester City vs. Everton,2,0,0
981,13,2017-10-29,Southampton,A,#ed1a3b ,9.0,Brighton vs. Southampton,1,1,1
989,12,2017-10-29,Brighton,H,#005daa ,12.0,Brighton vs. Southampton,1,1,1
997,12,2017-10-29,Leicester City,H,#0053a0 ,11.0,Leicester City vs. Everton,2,0,3
1009,16,2017-10-30,Burnley,H,#800000 ,7.0,Burnley vs. Newcastle Utd,1,0,3
1013,14,2017-10-30,Newcastle Utd,A,#fafafa ,9.0,Burnley vs. Newcastle Utd,1,0,0
1022,8,2017-11-04,Swansea City,H,#ffffff ,18.0,Swansea City vs. Brighton,0,1,0
1029,12,2017-11-04,Stoke City,H,#e03a3e,14.0,Stoke City vs. Leicester City,2,2,1
1034,15,2017-11-04,Brighton,A,#005daa ,8.0,Swansea City vs. Brighton,0,1,3
1035,13,2017-11-04,Southampton,H,#ed1a3b ,13.0,Southampton vs. Burnley,0,1,0
1038,9,2017-11-04,West Ham,H,#7f0000 ,17.0,West Ham vs. Liverpool,1,4,0
1045,10,2017-11-04,Bournemouth,A,#8b0304 ,16.0,Newcastle Utd vs. Bournemouth,0,1,3
1052,13,2017-11-04,Leicester City,A,#0053a0 ,12.0,Stoke City vs. Leicester City,2,2,1
1054,10,2017-11-04,West Bromwich Albion,A,#122f67,15.0,Huddersfield Town vs. West Bromwich Albion,1,0,0
1060,19,2017-11-04,Burnley,A,#800000 ,7.0,Southampton vs. Burnley,0,1,3
1061,14,2017-11-04,Newcastle Utd,H,#fafafa ,11.0,Newcastle Utd vs. Bournemouth,0,1,0
1062,19,2017-11-04,Liverpool,A,#dd0000 ,6.0,West Ham vs. Liverpool,1,4,3
1064,15,2017-11-04,Huddersfield Town,H,#176fc0,10.0,Huddersfield Town vs. West Bromwich Albion,1,0,3
1071,4,2017-11-05,Crystal Palace,A,#27409b ,20.0,Tottenham vs. Crystal Palace,1,0,0
1077,15,2017-11-05,Watford,A,#fbee23 ,9.0,Everton vs. Watford,3,2,0
1086,11,2017-11-05,Everton,H,#0d00e9 ,15.0,Everton vs. Watford,3,2,3
1090,23,2017-11-05,Manchester Utd,A,#b40509 ,2.0,Chelsea vs. Manchester Utd,1,0,0
1103,31,2017-11-05,Manchester City,H,#6caddf ,1.0,Manchester City vs. Arsenal,3,1,3
1104,23,2017-11-05,Tottenham,H,#fafafa ,3.0,Tottenham vs. Crystal Palace,1,0,3
1108,19,2017-11-05,Arsenal,A,#ef0107 ,6.0,Manchester City vs. Arsenal,3,1,0
1110,22,2017-11-05,Chelsea,H,#034694 ,4.0,Chelsea vs. Manchester Utd,1,0,3
1122,15,2017-11-18,Huddersfield Town,A,#176fc0,10.0,Bournemouth vs. Huddersfield Town,4,0,0
1128,25,2017-11-18,Chelsea,A,#034694 ,3.0,West Bromwich Albion vs. Chelsea,0,4,3
1129,22,2017-11-18,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Tottenham,2,0,3
1135,13,2017-11-18,Bournemouth,H,#8b0304 ,13.0,Bournemouth vs. Huddersfield Town,4,0,3
1137,22,2017-11-18,Burnley,H,#800000 ,7.0,Burnley vs. Swansea City,2,0,3
1143,13,2017-11-18,Southampton,A,#ed1a3b ,14.0,Liverpool vs. Southampton,3,0,0
1149,13,2017-11-18,Leicester City,H,#0053a0 ,12.0,Leicester City vs. Manchester City,0,2,0
1152,8,2017-11-18,Swansea City,A,#ffffff ,19.0,Burnley vs. Swansea City,2,0,0
1153,34,2017-11-18,Manchester City,A,#6caddf ,1.0,Leicester City vs. Manchester City,0,2,3
1154,5,2017-11-18,Crystal Palace,H,#27409b ,20.0,Crystal Palace vs. Everton,2,2,1
1155,14,2017-11-18,Newcastle Utd,A,#fafafa ,11.0,Manchester Utd vs. Newcastle Utd,4,1,0
1157,10,2017-11-18,West Bromwich Albion,H,#122f67,17.0,West Bromwich Albion vs. Chelsea,0,4,0
1159,22,2017-11-18,Liverpool,H,#dd0000 ,5.0,Liverpool vs. Southampton,3,0,3
1160,12,2017-11-18,Everton,A,#0d00e9 ,16.0,Crystal Palace vs. Everton,2,2,1
1161,23,2017-11-18,Tottenham,A,#fafafa ,4.0,Arsenal vs. Tottenham,2,0,0
1163,26,2017-11-18,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Newcastle Utd,4,1,3
1186,9,2017-11-19,West Ham,A,#7f0000 ,18.0,Watford vs. West Ham,2,0,0
1192,18,2017-11-19,Watford,H,#fbee23 ,8.0,Watford vs. West Ham,2,0,3
1206,16,2017-11-20,Brighton,H,#005daa ,9.0,Brighton vs. Stoke City,2,2,1
1207,13,2017-11-20,Stoke City,A,#e03a3e,15.0,Brighton vs. Stoke City,2,2,1
1217,10,2017-11-24,West Ham,H,#7f0000 ,18.0,West Ham vs. Leicester City,1,1,1
1218,14,2017-11-24,Leicester City,A,#0053a0 ,11.0,West Ham vs. Leicester City,1,1,1
1225,13,2017-11-25,Stoke City,A,#e03a3e,15.0,Crystal Palace vs. Stoke City,2,1,0
1234,24,2017-11-25,Tottenham,H,#fafafa ,4.0,Tottenham vs. West Bromwich Albion,1,1,1
1239,14,2017-11-25,Newcastle Utd,H,#fafafa ,13.0,Newcastle Utd vs. Watford,0,3,0
1244,26,2017-11-25,Chelsea,A,#034694 ,3.0,Liverpool vs. Chelsea,1,1,1
1245,23,2017-11-25,Liverpool,H,#dd0000 ,5.0,Liverpool vs. Chelsea,1,1,1
1246,29,2017-11-25,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Brighton,1,0,3
1248,16,2017-11-25,Brighton,A,#005daa ,9.0,Manchester Utd vs. Brighton,1,0,0
1258,11,2017-11-25,West Bromwich Albion,A,#122f67,17.0,Tottenham vs. West Bromwich Albion,1,1,1
1259,9,2017-11-25,Swansea City,H,#ffffff ,19.0,Swansea City vs. Bournemouth,0,0,1
1264,14,2017-11-25,Bournemouth,A,#8b0304 ,12.0,Swansea City vs. Bournemouth,0,0,1
1265,21,2017-11-25,Watford,A,#fbee23 ,8.0,Newcastle Utd vs. Watford,0,3,3
1270,8,2017-11-25,Crystal Palace,H,#27409b ,20.0,Crystal Palace vs. Stoke City,2,1,3
1276,25,2017-11-26,Arsenal,A,#ef0107 ,4.0,Burnley vs. Arsenal,0,1,3
1278,12,2017-11-26,Everton,A,#0d00e9 ,16.0,Southampton vs. Everton,4,1,0
