,PointsTotal,DateParse,Squad,HA,P_color,rank,matchup,score_H,score_A,Points
2212,24,2018-02-03,Huddersfield Town,A,#176fc0,19.0,Manchester Utd vs. Huddersfield Town,2,0,0
2213,26,2018-02-03,Southampton,A,#ed1a3b ,14.0,West Bromwich Albion vs. Southampton,2,3,3
2215,27,2018-02-03,Brighton,H,#005daa ,13.0,Brighton vs. West Ham,3,1,3
2216,20,2018-02-03,West Bromwich Albion,H,#122f67,20.0,West Bromwich Albion vs. Southampton,2,3,0
2219,35,2018-02-03,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Swansea City,1,1,1
2224,31,2018-02-03,Everton,A,#0d00e9 ,10.0,Arsenal vs. Everton,5,1,0
2230,36,2018-02-03,Burnley,H,#800000 ,7.0,Burnley vs. Manchester City,1,1,1
2247,27,2018-02-04,Crystal Palace,H,#27409b ,14.0,Crystal Palace vs. Newcastle Utd,1,1,1
2249,49,2018-02-04,Tottenham,A,#fafafa ,5.0,Liverpool vs. Tottenham,2,2,1
2250,25,2018-02-04,Newcastle Utd,A,#fafafa ,16.0,Crystal Palace vs. Newcastle Utd,1,1,1
2260,51,2018-02-04,Liverpool,H,#dd0000 ,3.0,Liverpool vs. Tottenham,2,2,1
2270,30,2018-02-05,Watford,H,#fbee23 ,11.0,Watford vs. Chelsea,4,1,3
2273,50,2018-02-05,Chelsea,A,#034694 ,4.0,Watford vs. Chelsea,4,1,0
2282,35,2018-02-10,Leicester City,A,#0053a0 ,8.0,Manchester City vs. Leicester City,5,1,0
2284,30,2018-02-10,Watford,A,#fbee23 ,11.0,West Ham vs. Watford,2,0,0
2288,27,2018-02-10,Swansea City,H,#ffffff ,15.0,Swansea City vs. Burnley,1,0,3
2293,28,2018-02-10,Brighton,A,#005daa ,13.0,Stoke City vs. Brighton,1,1,1
2296,45,2018-02-10,Arsenal,A,#ef0107 ,6.0,Tottenham vs. Arsenal,1,0,0
2303,34,2018-02-10,Everton,H,#0d00e9 ,9.0,Everton vs. Crystal Palace,3,1,3
2315,72,2018-02-10,Manchester City,H,#6caddf ,1.0,Manchester City vs. Leicester City,5,1,3
2318,25,2018-02-10,Stoke City,H,#e03a3e,18.0,Stoke City vs. Brighton,1,1,1
2319,52,2018-02-10,Tottenham,H,#fafafa ,3.0,Tottenham vs. Arsenal,1,0,3
2320,30,2018-02-10,West Ham,H,#7f0000 ,12.0,West Ham vs. Watford,2,0,3
2325,36,2018-02-10,Burnley,A,#800000 ,7.0,Swansea City vs. Burnley,1,0,0
2326,27,2018-02-10,Crystal Palace,A,#27409b ,14.0,Everton vs. Crystal Palace,3,1,0
2336,27,2018-02-11,Huddersfield Town,H,#176fc0,17.0,Huddersfield Town vs. Bournemouth,4,1,3
2339,26,2018-02-11,Southampton,H,#ed1a3b ,18.0,Southampton vs. Liverpool,0,2,0
2342,28,2018-02-11,Newcastle Utd,H,#fafafa ,13.0,Newcastle Utd vs. Manchester Utd,1,0,3
2343,56,2018-02-11,Manchester Utd,A,#b40509 ,2.0,Newcastle Utd vs. Manchester Utd,1,0,0
2348,54,2018-02-11,Liverpool,A,#dd0000 ,3.0,Southampton vs. Liverpool,0,2,3
2352,31,2018-02-11,Bournemouth,A,#8b0304 ,10.0,Huddersfield Town vs. Bournemouth,4,1,0
2368,20,2018-02-12,West Bromwich Albion,A,#122f67,20.0,Chelsea vs. West Bromwich Albion,3,0,0
2371,53,2018-02-12,Chelsea,H,#034694 ,4.0,Chelsea vs. West Bromwich Albion,3,0,3
2462,57,2018-02-24,Liverpool,H,#dd0000 ,2.0,Liverpool vs. West Ham,4,1,3
2470,30,2018-02-24,West Ham,A,#7f0000 ,13.0,Liverpool vs. West Ham,4,1,0
2472,30,2018-02-24,Huddersfield Town,A,#176fc0,14.0,West Bromwich Albion vs. Huddersfield Town,1,2,3
2476,33,2018-02-24,Watford,H,#fbee23 ,10.0,Watford vs. Everton,1,0,3
2477,36,2018-02-24,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Stoke City,1,1,1
2480,37,2018-02-24,Burnley,H,#800000 ,7.0,Burnley vs. Southampton,1,1,1
2482,31,2018-02-24,Brighton,H,#005daa ,12.0,Brighton vs. Swansea City,4,1,3
2483,26,2018-02-24,Stoke City,A,#e03a3e,19.0,Leicester City vs. Stoke City,1,1,1
2487,29,2018-02-24,Newcastle Utd,A,#fafafa ,15.0,Bournemouth vs. Newcastle Utd,2,2,1
2490,32,2018-02-24,Bournemouth,H,#8b0304 ,11.0,Bournemouth vs. Newcastle Utd,2,2,1
2491,27,2018-02-24,Southampton,A,#ed1a3b ,16.0,Burnley vs. Southampton,1,1,1
2496,20,2018-02-24,West Bromwich Albion,H,#122f67,20.0,West Bromwich Albion vs. Huddersfield Town,1,2,0
2499,27,2018-02-24,Swansea City,A,#ffffff ,18.0,Brighton vs. Swansea City,4,1,0
2506,34,2018-02-24,Everton,A,#0d00e9 ,9.0,Watford vs. Everton,1,0,0
2515,55,2018-02-25,Tottenham,A,#fafafa ,4.0,Crystal Palace vs. Tottenham,0,1,3
2517,27,2018-02-25,Crystal Palace,H,#27409b ,17.0,Crystal Palace vs. Tottenham,0,1,0
2518,59,2018-02-25,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Chelsea,2,1,3
2525,53,2018-02-25,Chelsea,A,#034694 ,5.0,Manchester Utd vs. Chelsea,2,1,0
2563,45,2018-03-01,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Manchester City,0,3,0
2567,75,2018-03-01,Manchester City,A,#6caddf ,1.0,Arsenal vs. Manchester City,0,3,3
2576,58,2018-03-03,Tottenham,H,#fafafa ,4.0,Tottenham vs. Huddersfield Town,2,0,3
2577,20,2018-03-03,West Bromwich Albion,A,#122f67,20.0,Watford vs. West Bromwich Albion,1,0,0
2584,33,2018-03-03,Bournemouth,A,#8b0304 ,11.0,Leicester City vs. Bournemouth,1,1,1
2589,28,2018-03-03,Southampton,H,#ed1a3b ,17.0,Southampton vs. Stoke City,0,0,1
2591,30,2018-03-03,Swansea City,H,#ffffff ,13.0,Swansea City vs. West Ham,4,1,3
2595,37,2018-03-03,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Bournemouth,1,1,1
2597,60,2018-03-03,Liverpool,H,#dd0000 ,2.0,Liverpool vs. Newcastle Utd,2,0,3
2600,27,2018-03-03,Stoke City,A,#e03a3e,19.0,Southampton vs. Stoke City,0,0,1
2602,34,2018-03-03,Everton,A,#0d00e9 ,10.0,Burnley vs. Everton,2,1,0
2606,36,2018-03-03,Watford,H,#fbee23 ,9.0,Watford vs. West Bromwich Albion,1,0,3
2607,40,2018-03-03,Burnley,H,#800000 ,7.0,Burnley vs. Everton,2,1,3
2610,30,2018-03-03,Huddersfield Town,A,#176fc0,15.0,Tottenham vs. Huddersfield Town,2,0,0
2617,29,2018-03-03,Newcastle Utd,A,#fafafa ,16.0,Liverpool vs. Newcastle Utd,2,0,0
2626,30,2018-03-03,West Ham,A,#7f0000 ,14.0,Swansea City vs. West Ham,4,1,0
2631,34,2018-03-04,Brighton,H,#005daa ,10.0,Brighton vs. Arsenal,2,1,3
2634,53,2018-03-04,Chelsea,A,#034694 ,5.0,Manchester City vs. Chelsea,1,0,0
2643,78,2018-03-04,Manchester City,H,#6caddf ,1.0,Manchester City vs. Chelsea,1,0,3
2648,45,2018-03-04,Arsenal,A,#ef0107 ,6.0,Brighton vs. Arsenal,2,1,0
2650,27,2018-03-05,Crystal Palace,H,#27409b ,18.0,Crystal Palace vs. Manchester Utd,2,3,0
2651,62,2018-03-05,Manchester Utd,A,#b40509 ,2.0,Crystal Palace vs. Manchester Utd,2,3,3
2662,37,2018-03-10,Everton,H,#0d00e9 ,9.0,Everton vs. Brighton,2,0,3
2669,31,2018-03-10,Huddersfield Town,H,#176fc0,15.0,Huddersfield Town vs. Swansea City,0,0,1
2670,31,2018-03-10,Swansea City,A,#ffffff ,14.0,Huddersfield Town vs. Swansea City,0,0,1
2672,27,2018-03-10,Crystal Palace,A,#27409b ,18.0,Chelsea vs. Crystal Palace,2,1,0
2674,28,2018-03-10,Southampton,A,#ed1a3b ,17.0,Newcastle Utd vs. Southampton,3,0,0
2676,32,2018-03-10,Newcastle Utd,H,#fafafa ,13.0,Newcastle Utd vs. Southampton,3,0,3
2678,40,2018-03-10,Leicester City,A,#0053a0 ,8.0,West Bromwich Albion vs. Leicester City,1,4,3
2691,60,2018-03-10,Liverpool,A,#dd0000 ,3.0,Manchester Utd vs. Liverpool,2,1,0
2692,20,2018-03-10,West Bromwich Albion,H,#122f67,20.0,West Bromwich Albion vs. Leicester City,1,4,0
2693,65,2018-03-10,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Liverpool,2,1,3
2700,34,2018-03-10,Brighton,A,#005daa ,11.0,Everton vs. Brighton,2,0,0
2702,56,2018-03-10,Chelsea,H,#034694 ,5.0,Chelsea vs. Crystal Palace,2,1,3
2704,43,2018-03-10,Burnley,A,#800000 ,7.0,West Ham vs. Burnley,0,3,3
2707,30,2018-03-10,West Ham,H,#7f0000 ,16.0,West Ham vs. Burnley,0,3,0
2708,48,2018-03-11,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Watford,3,0,3
2716,33,2018-03-11,Bournemouth,H,#8b0304 ,12.0,Bournemouth vs. Tottenham,1,4,0
2738,61,2018-03-11,Tottenham,A,#fafafa ,3.0,Bournemouth vs. Tottenham,1,4,3
2744,36,2018-03-11,Watford,A,#fbee23 ,10.0,Arsenal vs. Watford,3,0,0
2749,27,2018-03-12,Stoke City,H,#e03a3e,19.0,Stoke City vs. Manchester City,0,2,0
2751,81,2018-03-12,Manchester City,A,#6caddf ,1.0,Stoke City vs. Manchester City,0,2,3
2766,63,2018-03-17,Liverpool,H,#dd0000 ,3.0,Liverpool vs. Watford,5,0,3
2771,40,2018-03-17,Everton,A,#0d00e9 ,9.0,Stoke City vs. Everton,1,2,3
2775,31,2018-03-17,Huddersfield Town,H,#176fc0,15.0,Huddersfield Town vs. Crystal Palace,0,2,0
2780,30,2018-03-17,Crystal Palace,A,#27409b ,16.0,Huddersfield Town vs. Crystal Palace,0,2,3
2787,36,2018-03-17,Bournemouth,H,#8b0304 ,10.0,Bournemouth vs. West Bromwich Albion,2,1,3
2788,27,2018-03-17,Stoke City,H,#e03a3e,19.0,Stoke City vs. Everton,1,2,0
2792,20,2018-03-17,West Bromwich Albion,A,#122f67,20.0,Bournemouth vs. West Bromwich Albion,2,1,0
2797,36,2018-03-17,Watford,A,#fbee23 ,11.0,Liverpool vs. Watford,5,0,0
2844,33,2018-03-31,West Ham,H,#7f0000 ,14.0,West Ham vs. Southampton,3,0,3
2846,68,2018-03-31,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Swansea City,2,0,3
2849,30,2018-03-31,Crystal Palace,H,#27409b ,17.0,Crystal Palace vs. Liverpool,1,2,0
2850,66,2018-03-31,Liverpool,A,#dd0000 ,3.0,Crystal Palace vs. Liverpool,1,2,3
2853,34,2018-03-31,Brighton,H,#005daa ,13.0,Brighton vs. Leicester City,0,2,0
2854,28,2018-03-31,Southampton,A,#ed1a3b ,18.0,West Ham vs. Southampton,3,0,0
2855,37,2018-03-31,Bournemouth,A,#8b0304 ,10.0,Watford vs. Bournemouth,2,2,1
2857,43,2018-03-31,Leicester City,A,#0053a0 ,8.0,Brighton vs. Leicester City,0,2,3
2859,20,2018-03-31,West Bromwich Albion,H,#122f67,20.0,West Bromwich Albion vs. Burnley,1,2,0
2862,37,2018-03-31,Watford,H,#fbee23 ,11.0,Watford vs. Bournemouth,2,2,1
2865,31,2018-03-31,Swansea City,A,#ffffff ,15.0,Manchester Utd vs. Swansea City,2,0,0
2868,84,2018-03-31,Manchester City,A,#6caddf ,1.0,Everton vs. Manchester City,1,3,3
2870,40,2018-03-31,Everton,H,#0d00e9 ,9.0,Everton vs. Manchester City,1,3,0
2876,31,2018-03-31,Huddersfield Town,A,#176fc0,16.0,Newcastle Utd vs. Huddersfield Town,1,0,0
2885,46,2018-03-31,Burnley,A,#800000 ,7.0,West Bromwich Albion vs. Burnley,1,2,3
2888,35,2018-03-31,Newcastle Utd,H,#fafafa ,12.0,Newcastle Utd vs. Huddersfield Town,1,0,3
2902,56,2018-04-01,Chelsea,H,#034694 ,5.0,Chelsea vs. Tottenham,1,3,0
2914,27,2018-04-01,Stoke City,A,#e03a3e,19.0,Arsenal vs. Stoke City,3,0,0
2917,64,2018-04-01,Tottenham,A,#fafafa ,4.0,Chelsea vs. Tottenham,1,3,3
2923,51,2018-04-01,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Stoke City,3,0,3
2959,27,2018-04-07,Stoke City,H,#e03a3e,19.0,Stoke City vs. Tottenham,1,2,0
2964,38,2018-04-07,Bournemouth,H,#8b0304 ,11.0,Bournemouth vs. Crystal Palace,2,2,1
2966,35,2018-04-07,Brighton,H,#005daa ,13.0,Brighton vs. Huddersfield Town,1,1,1
2973,41,2018-04-07,Everton,H,#0d00e9 ,9.0,Everton vs. Liverpool,0,0,1
2976,49,2018-04-07,Burnley,A,#800000 ,7.0,Watford vs. Burnley,1,2,3
2978,43,2018-04-07,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Newcastle Utd,1,2,0
2983,32,2018-04-07,Huddersfield Town,A,#176fc0,16.0,Brighton vs. Huddersfield Town,1,1,1
2987,71,2018-04-07,Manchester Utd,A,#b40509 ,2.0,Manchester City vs. Manchester Utd,2,3,3
2990,38,2018-04-07,Newcastle Utd,A,#fafafa ,10.0,Leicester City vs. Newcastle Utd,1,2,3
2992,31,2018-04-07,Crystal Palace,A,#27409b ,17.0,Bournemouth vs. Crystal Palace,2,2,1
2994,84,2018-04-07,Manchester City,H,#6caddf ,1.0,Manchester City vs. Manchester Utd,2,3,0
2995,37,2018-04-07,Watford,H,#fbee23 ,12.0,Watford vs. Burnley,1,2,0
2998,21,2018-04-07,West Bromwich Albion,H,#122f67,20.0,West Bromwich Albion vs. Swansea City,1,1,1
2999,32,2018-04-07,Swansea City,A,#ffffff ,15.0,West Bromwich Albion vs. Swansea City,1,1,1
3001,67,2018-04-07,Tottenham,A,#fafafa ,4.0,Stoke City vs. Tottenham,1,2,3
3008,67,2018-04-07,Liverpool,A,#dd0000 ,3.0,Everton vs. Liverpool,0,0,1
3012,28,2018-04-08,Southampton,A,#ed1a3b ,18.0,Arsenal vs. Southampton,3,2,0
3020,34,2018-04-08,West Ham,A,#7f0000 ,14.0,Chelsea vs. West Ham,1,1,1
3021,54,2018-04-08,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Southampton,3,2,3
3036,57,2018-04-08,Chelsea,H,#034694 ,5.0,Chelsea vs. West Ham,1,1,1
3056,52,2018-04-14,Burnley,H,#800000 ,7.0,Burnley vs. Leicester City,2,1,3
3058,87,2018-04-14,Manchester City,A,#6caddf ,1.0,Tottenham vs. Manchester City,1,3,3
3059,70,2018-04-14,Liverpool,H,#dd0000 ,3.0,Liverpool vs. Bournemouth,3,0,3
3062,35,2018-04-14,Brighton,A,#005daa ,13.0,Crystal Palace vs. Brighton,3,2,0
3072,28,2018-04-14,Southampton,H,#ed1a3b ,18.0,Southampton vs. Chelsea,2,3,0
3075,38,2018-04-14,Bournemouth,A,#8b0304 ,11.0,Liverpool vs. Bournemouth,3,0,0
3082,42,2018-04-14,Everton,A,#0d00e9 ,9.0,Swansea City vs. Everton,1,1,1
3084,35,2018-04-14,Huddersfield Town,H,#176fc0,14.0,Huddersfield Town vs. Watford,1,0,3
3088,60,2018-04-14,Chelsea,A,#034694 ,5.0,Southampton vs. Chelsea,2,3,3
3094,37,2018-04-14,Watford,A,#fbee23 ,12.0,Huddersfield Town vs. Watford,1,0,0
3095,67,2018-04-14,Tottenham,H,#fafafa ,4.0,Tottenham vs. Manchester City,1,3,0
3098,33,2018-04-14,Swansea City,H,#ffffff ,17.0,Swansea City vs. Everton,1,1,1
3101,34,2018-04-14,Crystal Palace,H,#27409b ,16.0,Crystal Palace vs. Brighton,3,2,3
3104,43,2018-04-14,Leicester City,A,#0053a0 ,8.0,Burnley vs. Leicester City,2,1,0
3111,24,2018-04-15,West Bromwich Albion,A,#122f67,20.0,Manchester Utd vs. West Bromwich Albion,0,1,3
3117,54,2018-04-15,Arsenal,A,#ef0107 ,6.0,Newcastle Utd vs. Arsenal,2,1,0
3128,41,2018-04-15,Newcastle Utd,H,#fafafa ,10.0,Newcastle Utd vs. Arsenal,2,1,3
3141,71,2018-04-15,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. West Bromwich Albion,0,1,0
3142,28,2018-04-16,Stoke City,A,#e03a3e,19.0,West Ham vs. Stoke City,1,1,1
3143,35,2018-04-16,West Ham,H,#7f0000 ,14.0,West Ham vs. Stoke City,1,1,1
3149,68,2018-04-17,Tottenham,A,#fafafa ,4.0,Brighton vs. Tottenham,1,1,1
3153,36,2018-04-17,Brighton,H,#005daa ,13.0,Brighton vs. Tottenham,1,1,1
3164,74,2018-04-18,Manchester Utd,A,#b40509 ,2.0,Bournemouth vs. Manchester Utd,0,2,3
3168,38,2018-04-18,Bournemouth,H,#8b0304 ,11.0,Bournemouth vs. Manchester Utd,0,2,0
3182,52,2018-04-19,Burnley,H,#800000 ,7.0,Burnley vs. Chelsea,1,2,0
3185,29,2018-04-19,Southampton,A,#ed1a3b ,18.0,Leicester City vs. Southampton,0,0,1
3188,63,2018-04-19,Chelsea,A,#034694 ,5.0,Burnley vs. Chelsea,1,2,3
3192,44,2018-04-19,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Southampton,0,0,1
3202,38,2018-04-21,Watford,H,#fbee23 ,12.0,Watford vs. Crystal Palace,0,0,1
3205,25,2018-04-21,West Bromwich Albion,H,#122f67,20.0,West Bromwich Albion vs. Liverpool,2,2,1
3212,71,2018-04-21,Liverpool,A,#dd0000 ,3.0,West Bromwich Albion vs. Liverpool,2,2,1
3221,35,2018-04-21,Crystal Palace,A,#27409b ,15.0,Watford vs. Crystal Palace,0,0,1
3240,29,2018-04-22,Stoke City,H,#e03a3e,19.0,Stoke City vs. Burnley,1,1,1
3249,90,2018-04-22,Manchester City,H,#6caddf ,1.0,Manchester City vs. Swansea City,5,0,3
3254,33,2018-04-22,Swansea City,A,#ffffff ,17.0,Manchester City vs. Swansea City,5,0,0
3255,57,2018-04-22,Arsenal,H,#ef0107 ,6.0,Arsenal vs. West Ham,4,1,3
3257,53,2018-04-22,Burnley,A,#800000 ,7.0,Stoke City vs. Burnley,1,1,1
3265,35,2018-04-22,West Ham,A,#7f0000 ,15.0,Arsenal vs. West Ham,4,1,0
3276,45,2018-04-23,Everton,H,#0d00e9 ,8.0,Everton vs. Newcastle Utd,1,0,3
3279,41,2018-04-23,Newcastle Utd,A,#fafafa ,10.0,Everton vs. Newcastle Utd,1,0,0
3294,28,2018-04-28,West Bromwich Albion,A,#122f67,20.0,Newcastle Utd vs. West Bromwich Albion,0,1,3
3295,38,2018-04-28,Crystal Palace,H,#27409b ,11.0,Crystal Palace vs. Leicester City,5,0,3
3302,48,2018-04-28,Everton,A,#0d00e9 ,8.0,Huddersfield Town vs. Everton,0,2,3
3304,30,2018-04-28,Stoke City,A,#e03a3e,19.0,Liverpool vs. Stoke City,0,0,1
3305,66,2018-04-28,Chelsea,A,#034694 ,5.0,Swansea City vs. Chelsea,0,1,3
3308,33,2018-04-28,Swansea City,H,#ffffff ,17.0,Swansea City vs. Chelsea,0,1,0
3309,44,2018-04-28,Leicester City,A,#0053a0 ,9.0,Crystal Palace vs. Leicester City,5,0,0
3311,32,2018-04-28,Southampton,H,#ed1a3b ,18.0,Southampton vs. Bournemouth,2,1,3
3318,37,2018-04-28,Brighton,A,#005daa ,14.0,Burnley vs. Brighton,0,0,1
3319,54,2018-04-28,Burnley,H,#800000 ,7.0,Burnley vs. Brighton,0,0,1
3321,72,2018-04-28,Liverpool,H,#dd0000 ,3.0,Liverpool vs. Stoke City,0,0,1
3323,41,2018-04-28,Newcastle Utd,H,#fafafa ,10.0,Newcastle Utd vs. West Bromwich Albion,0,1,0
3328,38,2018-04-28,Bournemouth,A,#8b0304 ,12.0,Southampton vs. Bournemouth,2,1,0
3330,35,2018-04-28,Huddersfield Town,H,#176fc0,16.0,Huddersfield Town vs. Everton,0,2,0
3348,77,2018-04-29,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Arsenal,2,1,3
3349,35,2018-04-29,West Ham,H,#7f0000 ,15.0,West Ham vs. Manchester City,1,4,0
3355,93,2018-04-29,Manchester City,A,#6caddf ,1.0,West Ham vs. Manchester City,1,4,3
3370,57,2018-04-29,Arsenal,A,#ef0107 ,6.0,Manchester Utd vs. Arsenal,2,1,0
3376,71,2018-04-30,Tottenham,H,#fafafa ,4.0,Tottenham vs. Watford,2,0,3
3379,38,2018-04-30,Watford,A,#fbee23 ,13.0,Tottenham vs. Watford,2,0,0
3381,77,2018-05-04,Manchester Utd,A,#b40509 ,2.0,Brighton vs. Manchester Utd,1,0,0
3382,40,2018-05-04,Brighton,H,#005daa ,11.0,Brighton vs. Manchester Utd,1,0,3
3394,31,2018-05-05,West Bromwich Albion,H,#122f67,19.0,West Bromwich Albion vs. Tottenham,1,0,3
3396,41,2018-05-05,Watford,H,#fbee23 ,13.0,Watford vs. Newcastle Utd,2,1,3
3411,44,2018-05-05,Leicester City,H,#0053a0 ,9.0,Leicester City vs. West Ham,0,2,0
3412,33,2018-05-05,Swansea City,A,#ffffff ,18.0,Bournemouth vs. Swansea City,1,0,0
3413,33,2018-05-05,Southampton,A,#ed1a3b ,17.0,Everton vs. Southampton,1,1,1
3414,38,2018-05-05,West Ham,A,#7f0000 ,15.0,Leicester City vs. West Ham,0,2,3
3415,41,2018-05-05,Bournemouth,H,#8b0304 ,12.0,Bournemouth vs. Swansea City,1,0,3
3417,41,2018-05-05,Newcastle Utd,A,#fafafa ,10.0,Watford vs. Newcastle Utd,2,1,0
3418,30,2018-05-05,Stoke City,H,#e03a3e,20.0,Stoke City vs. Crystal Palace,1,2,0
3425,41,2018-05-05,Crystal Palace,A,#27409b ,11.0,Stoke City vs. Crystal Palace,1,2,3
3426,71,2018-05-05,Tottenham,A,#fafafa ,4.0,West Bromwich Albion vs. Tottenham,1,0,0
3427,49,2018-05-05,Everton,H,#0d00e9 ,8.0,Everton vs. Southampton,1,1,1
3434,69,2018-05-06,Chelsea,H,#034694 ,5.0,Chelsea vs. Liverpool,1,0,3
3437,72,2018-05-06,Liverpool,A,#dd0000 ,3.0,Chelsea vs. Liverpool,1,0,0
3442,54,2018-05-06,Burnley,A,#800000 ,7.0,Arsenal vs. Burnley,5,0,0
3450,60,2018-05-06,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Burnley,5,0,3
3471,36,2018-05-06,Huddersfield Town,A,#176fc0,16.0,Manchester City vs. Huddersfield Town,0,0,1
3473,94,2018-05-06,Manchester City,H,#6caddf ,1.0,Manchester City vs. Huddersfield Town,0,0,1
3478,33,2018-05-08,Swansea City,H,#ffffff ,18.0,Swansea City vs. Southampton,0,1,0
3479,36,2018-05-08,Southampton,A,#ed1a3b ,16.0,Swansea City vs. Southampton,0,1,3
3480,70,2018-05-09,Chelsea,H,#034694 ,5.0,Chelsea vs. Huddersfield Town,1,1,1
3481,97,2018-05-09,Manchester City,H,#6caddf ,1.0,Manchester City vs. Brighton,3,1,3
3482,41,2018-05-09,Newcastle Utd,A,#fafafa ,10.0,Tottenham vs. Newcastle Utd,1,0,0
3486,74,2018-05-09,Tottenham,H,#fafafa ,3.0,Tottenham vs. Newcastle Utd,1,0,3
3487,47,2018-05-09,Leicester City,H,#0053a0 ,9.0,Leicester City vs. Arsenal,3,1,3
3489,60,2018-05-09,Arsenal,A,#ef0107 ,6.0,Leicester City vs. Arsenal,3,1,0
3490,37,2018-05-09,Huddersfield Town,A,#176fc0,16.0,Chelsea vs. Huddersfield Town,1,1,1
3491,40,2018-05-09,Brighton,A,#005daa ,14.0,Manchester City vs. Brighton,3,1,0
3492,78,2018-05-10,Manchester Utd,A,#b40509 ,2.0,West Ham vs. Manchester Utd,0,0,1
3493,39,2018-05-10,West Ham,H,#7f0000 ,15.0,West Ham vs. Manchester Utd,0,0,1
3555,49,2018-05-13,Everton,A,#0d00e9 ,8.0,West Ham vs. Everton,3,1,0
3556,77,2018-05-13,Tottenham,H,#fafafa ,3.0,Tottenham vs. Leicester City,5,4,3
3557,47,2018-05-13,Leicester City,A,#0053a0 ,9.0,Tottenham vs. Leicester City,5,4,0
3559,63,2018-05-13,Arsenal,A,#ef0107 ,6.0,Huddersfield Town vs. Arsenal,0,1,3
3565,75,2018-05-13,Liverpool,H,#dd0000 ,4.0,Liverpool vs. Brighton,4,0,3
3566,54,2018-05-13,Burnley,H,#800000 ,7.0,Burnley vs. Bournemouth,1,2,0
3568,42,2018-05-13,West Ham,H,#7f0000 ,13.0,West Ham vs. Everton,3,1,3
3569,81,2018-05-13,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Watford,1,0,3
3571,44,2018-05-13,Bournemouth,A,#8b0304 ,12.0,Burnley vs. Bournemouth,1,2,3
3572,36,2018-05-13,Southampton,H,#ed1a3b ,17.0,Southampton vs. Manchester City,0,1,0
3574,37,2018-05-13,Huddersfield Town,H,#176fc0,16.0,Huddersfield Town vs. Arsenal,0,1,0
3575,44,2018-05-13,Crystal Palace,H,#27409b ,11.0,Crystal Palace vs. West Bromwich Albion,2,0,3
3576,100,2018-05-13,Manchester City,A,#6caddf ,1.0,Southampton vs. Manchester City,0,1,3
3577,44,2018-05-13,Newcastle Utd,H,#fafafa ,10.0,Newcastle Utd vs. Chelsea,3,0,3
3580,70,2018-05-13,Chelsea,A,#034694 ,5.0,Newcastle Utd vs. Chelsea,3,0,0
3583,33,2018-05-13,Swansea City,H,#ffffff ,18.0,Swansea City vs. Stoke City,1,2,0
3585,40,2018-05-13,Brighton,A,#005daa ,15.0,Liverpool vs. Brighton,4,0,0
3586,41,2018-05-13,Watford,A,#fbee23 ,14.0,Manchester Utd vs. Watford,1,0,0
3589,31,2018-05-13,West Bromwich Albion,A,#122f67,20.0,Crystal Palace vs. West Bromwich Albion,2,0,0
3590,33,2018-05-13,Stoke City,A,#e03a3e,19.0,Swansea City vs. Stoke City,1,2,3
